Date,Buy/Sell/Hold,Name,Bank Name
14.09.18,Buy,NVIDIA Buy,"Needham & Company, LLC"
17.08.18,Buy,NVIDIA Outperform,"Cowen and Company, LLC"
17.08.18,Buy,NVIDIA Hold,"Stifel, Nicolaus & Co., Inc."
17.08.18,Buy,NVIDIA Outperform,Oppenheimer & Co. Inc.
26.06.18,Buy,NVIDIA Buy,The Benchmark Company
18.05.18,Buy,NVIDIA Outperform,"Cowen and Company, LLC"
14.05.18,Buy,NVIDIA Buy,"Needham & Company, LLC"
11.05.18,Buy,NVIDIA Hold,"Stifel, Nicolaus & Co., Inc."
03.05.18,Buy,NVIDIA overweight,Barclays Capital
14.03.18,Buy,NVIDIA Outperform,RBC Capital Markets
09.02.18,Buy,NVIDIA Buy,Mizuho
16.01.18,Buy,NVIDIA Buy,Mizuho
17.11.17,Buy,NVIDIA Market Perform,BMO Capital Markets
17.11.17,Buy,NVIDIA Outperform,RBC Capital Markets
10.11.17,Buy,NVIDIA Hold,"Stifel, Nicolaus & Co., Inc."
10.11.17,Buy,NVIDIA Outperform,RBC Capital Markets
06.11.17,Buy,NVIDIA Buy,"B. Riley FBR, Inc."
30.10.17,Buy,NVIDIA Outperform,RBC Capital Markets
13.10.17,Buy,NVIDIA Buy,"Needham & Company, LLC"
12.10.17,Buy,NVIDIA Outperform,RBC Capital Markets
14.08.17,Buy,NVIDIA Buy,Canaccord Adams
11.08.17,Hold,NVIDIA Equal weight,Barclays Capital
10.07.17,Buy,NVIDIA Buy,"Needham & Company, LLC"
12.05.17,Buy,NVIDIA Buy,Canaccord Adams
05.04.17,Buy,NVIDIA Buy,Canaccord Adams
04.04.17,Buy,NVIDIA Underweight,Pacific Crest Securities Inc.
24.02.17,Buy,NVIDIA Underperform,BMO Capital Markets
23.02.17,Buy,NVIDIA Reduce,Instinet
10.02.17,Buy,NVIDIA Outperform,RBC Capital Markets
10.02.17,Buy,NVIDIA Buy,Mizuho
02.02.17,Buy,NVIDIA Outperform,RBC Capital Markets
10.01.17,Buy,NVIDIA Buy,Canaccord Adams
06.01.17,Buy,NVIDIA Buy,UBS AG
13.12.16,Buy,NVIDIA Buy,Loop Capital
22.11.16,Buy,NVIDIA Buy,MKM Partners
14.11.16,Buy,NVIDIA Buy,"Needham & Company, LLC"
11.11.16,Buy,NVIDIA Equal weight,Barclays Capital
11.11.16,Buy,NVIDIA Buy,Canaccord Adams
11.11.16,Buy,NVIDIA Buy,Mizuho
08.11.16,Buy,NVIDIA Outperform,RBC Capital Markets
20.09.16,Buy,NVIDIA Neutral,SunTrust
15.09.16,Buy,NVIDIA Buy,MKM Partners
15.07.16,Buy,NVIDIA Buy,Mizuho
17.06.16,Hold,NVIDIA Outperform,RBC Capital Markets
16.06.16,Buy,NVIDIA Buy,Canaccord Adams
15.06.16,Buy,NVIDIA Outperform,Wedbush Morgan Securities Inc.
13.05.16,Buy,NVIDIA Buy,MKM Partners
13.05.16,Hold,NVIDIA Buy,Topeka Capital Markets
13.05.16,Buy,NVIDIA Buy,"ROTH Capital Partners, LLC"
13.05.16,Buy,NVIDIA Outperform,Wedbush Morgan Securities Inc.
13.05.16,Buy,NVIDIA Sector Perform,RBC Capital Markets
06.04.16,Buy,NVIDIA Hold,Deutsche Bank AG
06.04.16,Buy,NVIDIA Hold,"Stifel, Nicolaus & Co., Inc."
06.04.16,Buy,NVIDIA Hold,Topeka Capital Markets
01.04.16,Buy,NVIDIA Sector Perform,RBC Capital Markets
18.03.16,Buy,NVIDIA Buy,Argus Research Company
14.01.16,Buy,NVIDIA Underweight,Barclays Capital
30.12.15,Buy,NVIDIA Buy,MKM Partners
16.11.15,Buy,NVIDIA Buy,Canaccord Adams
06.11.15,Buy,NVIDIA Hold,Topeka Capital Markets
06.11.15,Buy,NVIDIA Sector Perform,RBC Capital Markets
06.11.15,Buy,NVIDIA Neutral,"ROTH Capital Partners, LLC"
06.11.15,Buy,NVIDIA Outperform,Robert W. Baird & Co. Incorporated
04.11.15,Buy,NVIDIA Neutral,MKM Partners
03.11.15,Buy,NVIDIA Hold,"Needham & Company, LLC"
12.10.15,Buy,NVIDIA Neutral,"ROTH Capital Partners, LLC"
28.08.15,Buy,NVIDIA Sector Perform,RBC Capital Markets
